846158.95	997575.92	840.047
846158.63	997576.68	840.036
846166.79	997574.42	839.928
846181.99	997569.44	839.897
846182.43	997570.55	839.879
846189.41	997568.69	840.057
846166.12	997574.11	840.029
846182.31	997568.81	840.954
846182.71	997569.85	841.396
846158.51	997574.49	840.202
846157.97	997574.64	840.135
846179.05	997569.60	840.029
846179.58	997571.62	839.899
846180.80	997571.31	839.895
846180.26	997569.30	840.041
846198.52	997573.62	838.779
846198.90	997575.20	838.596
846182.79	997581.29	837.985
846158.59	997587.80	837.531
846159.76	997583.18	838.902
846163.74	997582.52	838.868
846164.36	997582.50	838.846
846175.75	997578.85	839.299
846175.75	997578.85	839.298
846196.54	997573.52	838.988
846161.83	997574.95	841.888
846161.82	997574.96	843.013
846164.71	997574.19	841.904
846164.71	997574.19	843.025
846164.17	997574.32	843.018
846164.17	997574.32	841.899
846161.28	997575.09	842.994
846161.30	997575.09	841.881
846161.91	997575.15	841.852
846160.21	997575.60	841.843
846160.20	997575.60	843.024
846161.89	997575.14	843.048
846163.08	997574.82	843.045
846163.09	997574.82	841.858
846164.79	997574.38	841.868
846164.78	997574.37	843.039
846168.75	997572.21	841.900
846168.76	997572.21	843.227
846167.96	997572.42	843.264
846168.26	997572.17	841.952
846168.67	997572.03	842.015
846168.67	997572.03	843.162
846187.77	997562.48	840.605
846191.42	997561.48	840.511
846189.58	997554.71	840.782
846192.50	997553.37	840.819
846190.70	997561.01	841.009
846187.07	997562.06	841.014
846188.74	997568.21	841.003
846165.88	997573.02	840.960
846197.58	997560.52	842.083
846196.04	997555.75	842.943
846198.06	997552.44	842.610
846205.53	997550.00	841.579
846205.25	997549.20	841.035
846201.54	997550.25	840.955
846197.44	997551.47	840.905
846197.07	997551.88	840.980
846192.49	997553.35	840.815
846188.89	997553.89	840.748
846185.39	997554.70	840.702
846180.56	997555.89	840.870
846179.72	997556.11	840.864
846171.56	997558.22	840.588
846170.13	997558.62	840.585
846189.08	997554.93	840.877
846188.17	997555.10	840.906
846185.71	997555.78	840.889
846185.32	997555.87	840.946
846185.08	997555.08	840.831
846171.67	997558.54	840.640
846170.20	997558.96	840.644
846180.14	997541.34	843.104
846179.59	997541.20	843.138
846196.66	997536.77	842.928
846180.12	997541.33	843.366
846180.03	997541.09	843.378
846179.59	997541.20	843.348
846178.71	997538.16	843.394
846166.36	997539.31	843.716
846169.10	997552.65	840.873
846156.82	997534.16	844.358
846157.86	997539.35	843.945
846154.83	997546.38	844.451
846171.55	997558.23	840.574
846171.64	997558.58	840.603
846170.22	997558.94	840.616
846170.13	997558.62	840.570
846162.21	997560.62	840.464
846162.18	997560.56	840.441
846155.87	997562.18	840.437
846155.95	997562.48	840.504
846155.45	997562.66	840.377
846155.44	997562.66	840.381
846154.86	997562.84	840.339
846157.79	997571.61	840.404
846157.32	997571.77	840.402
846137.92	997549.60	842.691
846172.33	997557.19	840.487
846148.45	997565.52	840.388
846148.90	997557.34	841.237
846190.04	997547.10	841.865
846159.22	997575.40	843.682
846160.11	997575.30	843.053
846161.80	997574.87	843.061
846161.80	997574.86	841.908
846160.12	997575.30	841.893
846160.07	997575.19	843.061
846161.77	997574.73	843.064
846161.78	997574.72	841.894
846160.12	997575.30	841.894
846162.97	997574.40	843.073
846164.67	997573.95	843.077
846164.68	997573.95	841.911
846162.97	997574.40	841.899
846165.51	997573.70	841.079
846165.52	997573.72	843.709
846164.64	997570.34	843.708
846164.64	997570.34	842.419
846164.69	997570.51	842.416
846164.69	997570.51	842.315
846164.66	997570.46	842.292
846164.66	997570.46	841.507
846164.75	997570.80	841.441
846164.73	997570.81	841.074
846164.64	997570.83	841.093
846164.40	997570.91	841.089
846164.30	997570.94	841.093
846164.30	997570.94	841.456
846164.20	997570.59	841.456
846164.20	997570.58	841.086
846163.97	997570.64	841.097
846163.96	997570.65	842.298
846163.92	997570.69	842.413
846163.50	997569.15	842.412
846163.50	997569.15	842.315
846163.56	997569.19	842.293
846163.57	997569.17	841.074
846163.72	997569.51	841.603
846163.63	997569.55	841.593
846163.63	997569.53	841.491
846163.83	997570.29	841.494
846163.83	997570.29	841.588
846163.91	997570.24	841.600
846163.87	997570.29	842.181
